VitalSignsCaptureWave v1.005
Datex AS3 Monitor
Time,ECG1,
7:49:53 PM,1.65,
7:49:53 PM,1.74,
7:49:53 PM,1.86,
7:49:53 PM,1.93,
7:49:53 PM,1.99,
7:49:53 PM,2.03,
7:49:53 PM,2.08,
7:49:53 PM,2.11,
7:49:53 PM,2.16,
7:49:53 PM,2.22,
7:49:53 PM,2.3,
7:49:53 PM,2.35,
7:49:53 PM,2.42,
7:49:53 PM,2.49,
7:49:53 PM,2.58,
7:49:53 PM,2.65,
7:49:53 PM,2.69,
7:49:53 PM,2.7,
7:49:53 PM,2.71,
7:49:53 PM,2.73,
7:49:53 PM,2.75,
7:49:53 PM,2.83,
7:49:53 PM,2.92,
7:49:53 PM,2.98,
7:49:53 PM,3,
7:49:53 PM,3.02,
7:49:53 PM,2.99,
7:49:53 PM,2.91,
7:49:53 PM,2.8,
7:49:53 PM,2.64,
7:49:53 PM,2.42,
7:49:53 PM,2.17,
7:49:53 PM,1.95,
7:49:53 PM,1.76,
7:49:53 PM,1.58,
7:49:53 PM,1.39,
7:49:53 PM,1.19,
7:49:53 PM,0.98,
7:49:53 PM,0.77,
7:49:53 PM,0.59,
7:49:53 PM,0.47,
7:49:53 PM,0.4,
7:49:53 PM,0.32,
7:49:53 PM,0.28,
7:49:53 PM,0.25,
7:49:53 PM,0.2,
7:49:53 PM,0.15,
7:49:53 PM,0.07,
7:49:53 PM,0,
7:49:53 PM,-0.04,
7:49:53 PM,-0.09,
7:49:53 PM,-0.1,
7:49:53 PM,-0.1,
7:49:53 PM,-0.11,
7:49:53 PM,-0.08,
7:49:53 PM,-0.06,
7:49:53 PM,-0.03,
7:49:53 PM,-0.01,
7:49:53 PM,-0.03,
7:49:53 PM,-0.04,
7:49:53 PM,-0.02,
7:49:53 PM,-0.01,
7:49:53 PM,0.01,
7:49:53 PM,0.08,
7:49:53 PM,0.12,
7:49:53 PM,0.16,
7:49:53 PM,0.18,
7:49:53 PM,0.18,
7:49:53 PM,0.16,
7:49:53 PM,0.15,
7:49:53 PM,0.13,
7:49:53 PM,0.13,
7:49:53 PM,0.17,
7:49:53 PM,0.2,
7:49:53 PM,0.23,
7:49:53 PM,0.24,
7:49:53 PM,0.21,
7:49:53 PM,0.16,
7:49:53 PM,0.12,
7:49:53 PM,0.12,
7:49:53 PM,0.14,
7:49:53 PM,0.15,
7:49:53 PM,0.14,
7:49:53 PM,0.11,
7:49:53 PM,0.1,
7:49:53 PM,0.12,
7:49:53 PM,0.15,
7:49:53 PM,0.16,
7:49:53 PM,0.17,
7:49:53 PM,0.11,
7:49:53 PM,0.05,
7:49:53 PM,0.04,
7:49:53 PM,0.04,
7:49:53 PM,0.06,
7:49:53 PM,0.08,
7:49:53 PM,0.04,
7:49:53 PM,0.02,
7:49:53 PM,-0.01,
7:49:53 PM,-0.06,
7:49:53 PM,-0.06,
7:49:53 PM,-0.08,
7:49:53 PM,-0.08,
7:49:53 PM,-0.08,
7:49:53 PM,-0.06,
7:49:53 PM,-0.03,
7:49:53 PM,-0.01,
7:49:53 PM,-0.03,
7:49:53 PM,-0.08,
7:49:53 PM,-0.12,
7:49:53 PM,-0.15,
7:49:53 PM,-0.17,
7:49:53 PM,-0.14,
7:49:53 PM,-0.07,
7:49:53 PM,-0.04,
7:49:53 PM,-0.04,
7:49:53 PM,-0.08,
7:49:53 PM,-0.14,
7:49:53 PM,-0.18,
7:49:53 PM,-0.22,
7:49:53 PM,-0.2,
7:49:53 PM,-0.17,
7:49:53 PM,-0.12,
7:49:53 PM,-0.04,
7:49:53 PM,0,
7:49:53 PM,0.01,
7:49:53 PM,0,
7:49:53 PM,-0.04,
7:49:53 PM,-0.08,
7:49:53 PM,-0.1,
7:49:53 PM,-0.12,
7:49:53 PM,-0.12,
7:49:53 PM,-0.06,
7:49:53 PM,-0.05,
7:49:53 PM,-0.05,
7:49:53 PM,-0.03,
7:49:53 PM,-0.04,
7:49:53 PM,-0.07,
7:49:53 PM,-0.12,
7:49:53 PM,-0.13,
7:49:53 PM,-0.08,
7:49:53 PM,0.02,
7:49:53 PM,0.15,
7:49:53 PM,0.27,
7:49:53 PM,0.38,
7:49:53 PM,0.45,
7:49:53 PM,0.49,
7:49:53 PM,0.49,
7:49:53 PM,0.53,
7:49:53 PM,0.64,
7:49:53 PM,0.82,
7:49:53 PM,1.04,
7:49:53 PM,1.23,
7:49:53 PM,1.37,
7:49:53 PM,1.45,
7:49:53 PM,1.47,
7:49:53 PM,1.37,
7:49:53 PM,1.2,
7:49:53 PM,1.02,
7:49:53 PM,0.81,
7:49:53 PM,0.64,
7:49:53 PM,0.47,
7:49:53 PM,0.34,
7:49:53 PM,0.24,
7:49:53 PM,0.1,
7:49:53 PM,-0.03,
7:49:53 PM,-0.1,
7:49:53 PM,-0.13,
7:49:53 PM,-0.13,
7:49:53 PM,-0.12,
7:49:53 PM,-0.14,
7:49:53 PM,-0.16,
7:49:53 PM,-0.16,
7:49:53 PM,-0.16,
7:49:53 PM,-0.12,
